supply_structure,pricing_structure,producer_npv,consumer_npv,total_volume_mwh,average_strike_eur_mwh,capture_rate,volume_value,profile_value,path,mode,label
PayAsProduced,FixedEscalated,6481320.596622846,-6481320.596622846,441650.9088700084,71.12945601293316,0.7403497555633292,7059124.198118395,-577803.6014955491,124,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2851287.7607294745,-2851287.7607294745,441650.9088700084,59.08563593993616,0.7403497555633292,3085287.0594130172,-233999.29868354276,124,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,441650.9088700084,49.734814323421155,0.7403497555633292,0.0,0.0,124,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1650054.4568368872,-1650054.4568368872,441650.9088700084,65.00000000000001,0.7403497555633292,1968984.317718395,-318929.86088150786,124,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3481340.1102502844,-3481340.1102502844,441650.9088700084,71.12945601293316,0.7403497555633292,3991387.491846318,-510047.38159603346,124,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,574527.7285788017,-574527.7285788017,441650.9088700084,61.16326279829346,0.7403497555633292,703059.6616553393,-128531.93307653756,124,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,441650.9088700084,59.032444707364434,0.7403497555633292,0.0,0.0,124,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1042326.1141671397,1042326.1141671397,441650.90887000813,65.00000000000003,0.7403497555633292,-718448.2896211174,-323877.82454602234,124,joint,Baseload / FixedFlat
Baseload,FixedEscalated,798604.1487689846,-798604.1487689846,441650.90887000813,71.17379605473563,0.7403497555633292,1318584.8029029954,-519980.6541340108,124,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-127547.88461607172,127547.88461607172,441650.90887000813,67.07988022739123,0.7403497555633292,-32195.485978109125,-95352.3986379626,124,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,441650.90887000813,67.17745761336568,0.7403497555633292,0.0,0.0,124,joint,Baseload / Floating
PayAsProduced,FixedFlat,4620354.7631595265,-4620354.7631595265,444263.6189481416,65.0,0.7429742545158204,5002633.770637183,-382279.00747765694,125,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6463452.776160518,-6463452.776160518,444263.6189481416,71.12749612479347,0.7429742545158204,7036350.552006337,-572897.7758458192,125,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2829780.0786496396,-2829780.0786496396,444263.6189481416,59.151032463273566,0.7429742545158204,3061360.6648096573,-231580.58616001764,125,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,444263.6189481416,49.927292077167486,0.7429742545158204,0.0,0.0,125,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1639914.8591560188,-1639914.8591560188,444263.61894814164,65.0,0.7429742545158204,1952046.1701407398,-312131.31098472094,125,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3483036.665386495,-3483036.665386495,444263.61894814164,71.12749612479345,0.7429742545158204,3985762.9515098883,-502726.2861233931,125,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,560585.9944885601,-560585.9944885601,444263.61894814164,61.19266931336354,0.7429742545158204,688392.6072598165,-127806.61277125636,125,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,444263.61894814164,59.11857371069007,0.7429742545158204,0.0,0.0,125,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1053136.2787661515,1053136.2787661515,444263.6189481417,64.99999999999996,0.7429742545158204,-729922.1679991824,-323214.11076696916,125,joint,Baseload / FixedFlat
Baseload,FixedEscalated,798684.5245368426,-798684.5245368426,444263.6189481417,71.17379605473558,0.7429742545158204,1319161.5662952564,-520477.0417584138,125,joint,Baseload / FixedEscalated
